"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2021-01-01 14:10:57.239000+00:00","2021-01-01 14:47:15.239000+00:00","2178","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874","250","Victoria Quay","Entrance to Scottish Government Office","55.977617152546344","-3.1741263194576277"
"2021-01-01 14:11:15.517000+00:00","2021-01-01 14:47:21.868000+00:00","2166","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874","250","Victoria Quay","Entrance to Scottish Government Office","55.977617152546344","-3.1741263194576277"
"2021-01-01 14:13:24.025000+00:00","2021-01-01 14:47:47.371000+00:00","2063","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874","250","Victoria Quay","Entrance to Scottish Government Office","55.977617152546344","-3.1741263194576277"
"2021-01-01 14:28:40.412000+00:00","2021-01-01 15:38:36.098000+00:00","4195","1024","Meadow Place","End of Meadow Place","55.940237631689435","-3.194640214184801","1024","Meadow Place","End of Meadow Place","55.940237631689435","-3.194640214184801"
"2021-01-01 14:36:02.070000+00:00","2021-01-01 15:28:57.063000+00:00","3174","1102","Haymarket Station","Haymarket Station","55.94556945067266","-3.21818468327956","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537"
"2021-01-01 14:38:40.760000+00:00","2021-01-01 14:48:06.799000+00:00","566","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956","1821","Drumsheugh Place","Corner with Drumsheugh Gardens","55.95159412232485","-3.2123542850940225"
"2021-01-01 14:46:08.677000+00:00","2021-01-01 15:33:53.592000+00:00","2864","2263","Musselburgh Lidl","Musselborough North High Street opposite Harbour Road","55.94388031687606","-3.0667539162178628","249","Fountainbridge","Fountainbridge by Gardner's Crescent","55.94335692764551","-3.2092475016246453"
"2021-01-01 14:47:18.938000+00:00","2021-01-01 15:33:58.496000+00:00","2799","2263","Musselburgh Lidl","Musselborough North High Street opposite Harbour Road","55.94388031687606","-3.0667539162178628","249","Fountainbridge","Fountainbridge by Gardner's Crescent","55.94335692764551","-3.2092475016246453"
"2021-01-01 15:04:03.927000+00:00","2021-01-01 16:16:28.885000+00:00","4344","1769","Brunswick Place","Corner of Elm Row/Brunswick Street","55.96085174106396","-3.180985762469163","2259","Leith Walk North","Next to Allander House","55.96791807044289","-3.1735862970647304"
"2021-01-01 15:09:59.239000+00:00","2021-01-01 16:38:33.352000+00:00","5314","1098","Marchmont Crescent","Corner of Marchmont Road","55.936431918148195","-3.194150044314256","1098","Marchmont Crescent","Corner of Marchmont Road","55.936431918148195","-3.194150044314256"
